registration_id,name,email,phone,address,company_type,status,website
INZ000303236,Bondbazaar Securities Private Limited,sheetal.musale@bondbazaar.com,9821035471,"204-205 Balarama Co-Op Housing Society Ltd.,2Nd Floor Bandra Kurla Complex Bandra East Mumbai Maharashtra-400051",Securities,ACTIVE,https://www.bondbazaar.com
INZ000313632,Fourdegreewater Services Private Limited,compliance@wintwealth.com,8861212984,"175, The Paviliondollars Colony, Near Rainbow Hospital Bannerghatta Main Road Bannerghatta Road Bangalore Karnataka - 5600076",Securities,ACTIVE,https://www.wintwealth.com/app/assets
INZ000310732,Goldenpi Securities Private Limited,ekta.sheth@goldenpi.com,8017029917,"55/11 B And 55/B, 2Nd Sector Indiquibe Orion 24Th Main Hsr Layout Bangalore, Karnataka-560102",Securities,ACTIVE,https://www.goldenpi.com
INZ000312836,Grip Broking Private Limited,compliance@gripbroking.com,9529095211,"106 Flat No. 106 Ii F New Asiatic Building H Block New Delhi East -110001",Securities,ACTIVE,https://www.gripinvest.in/
INZ000183631,ICICI Securities Limited,iseccompliance@icicisecurities.com,9167997629,"Icici Venture House Appa Saheb Marathe Marg Prabha Devi Mumbai Maharashtra-400025",Securities,ACTIVE,https://www.icicidirect.com
INZ000311637,India Bond Private Limited,compliance@indiabonds.com,022-67544745,"605, 6Th Floor Windsor Off Cst Road Kalina Mumbai Maharashtra - 400098",Securities,ACTIVE,https://www.indiabonds.com/
INZ000315538,Jiraaf Platform Private Limited,richa.m@jiraaf.com,9611312885,"Clayworks, 1St Cross Road, 371 St. Johns Hospital Road Santoshpuram Koramangala 3Rd Block Bangalore Karnataka-560034",Securities,ACTIVE,https://www.jiraaf.com/
INZ000195834,JM Financial Services Limited,amar.agrawal@jmfl.com,022-66303030,"Cenergy,7 Floor Appa Saheb Marathe Marg Prabhadevi Mumbai,Maharashtra-400025",Securities,ACTIVE,https://www.jmfinancialservices.in
INZ000296636,Launchpad Fintech Private Limited,COMPLIANCE@BONDSINDIA.COM,8595725516,"601/602, Express Building, 14 E Road, Churchgate, Mumbai - 400020",Securities,ACTIVE,https://www.bondsindia.com
INZ000158836,Motilal Oswal Financial Services Limited,Anupama.Bhattad@motilaloswal.com,022-40548085,"Motilal Oswal Tower Rahimtullah Say Ani Road Opposite Parel St Depot Prabhadevi Mumbai - Maharashtra-400025",Securities,ACTIVE,https://mofsl.co/OpenWeb/BrokerBranchDetails
