text,label,roi_percentage,timeframe
"SEBI registered investment advisor. Registration No: INA000183631. Mutual funds are subject to market risks, read all scheme related documents carefully.",0,,
"ICICI Securities Limited - SEBI Reg: INZ000183631. Systematic investment plans help in long-term wealth creation through disciplined investing.",0,,
"Motilal Oswal Financial Services - SEBI registered broker INZ000158836. Equity investments are subject to market volatility.",0,,
"Angel One Limited (SEBI Reg: INA000008172) recommends diversified portfolio allocation across asset classes for risk management.",0,,
"JM Financial Services Limited - SEBI Registration: INZ000195834. Please consult your financial advisor before making investment decisions.",0,,
"Axis Securities Limited - SEBI Reg: INZ000161633. Past performance does not guarantee future returns in equity markets.",0,,
"5Paisa Capital Limited - SEBI registered entity INZ000010231. Investments in securities are subject to market risks.",0,,
"Centrum Broking Limited - SEBI Reg: INZ000205331. SIP investments help in rupee cost averaging over long term.",0,,
"HDFC Bank provides banking services. For investment advice, consult SEBI registered investment advisors only.",0,,
"Reliance Industries Limited is listed on NSE and BSE. Invest through authorized intermediaries only.",0,,
"Tata Consultancy Services - blue chip stock listed on major exchanges. Market-linked returns subject to volatility.",0,,
"Infosys Limited - IT sector fundamentals remain strong. Consult registered advisors for personalized advice.",0,,
"HDFC Life Insurance Company provides life insurance products. Investment returns are market-linked and not guaranteed.",0,,
"SBI Life Insurance - Unit-linked insurance plans are subject to investment risks. Please read policy documents carefully.",0,,
"Prudent Corporate Advisory Services Limited - SEBI Reg: INZ000293634. We provide research-based investment recommendations.",0,,
"Bondbazaar Securities Private Limited - SEBI Reg: INZ000303236. Government bonds offer stable returns with lower risk profile.",0,6,annual
"Launchpad Fintech Private Limited - SEBI Reg: INZ000296636. Corporate bonds provide higher yields than government securities.",0,8,annual
"Trust Securities Services - SEBI Reg: INZ000158031. Debt mutual funds are suitable for conservative investors.",0,,
"Sunrise Gilts & Securities - SEBI Reg: INZ000025734. Gilt funds invest in government securities with minimal credit risk.",0,,
"NJ India Invest Private Limited - SEBI Reg: INZ000213137. Regular review and rebalancing is essential for portfolio management.",0,,
"Eureka Stock & Share Broking Services - SEBI Reg: INZ000169839. Equity research should be backed by fundamental analysis.",0,,
"Moneylicious Securities - SEBI Reg: INZ000006031. Technology has made investing more accessible and transparent.",0,,
"GUARANTEED 25% returns in just 2 weeks! Join our exclusive Telegram group for insider trading tips. Limited slots available!",1,25,2 weeks
